a,229576,0.062103830280838206
1,227993,0.06167560449358446
e,175869,0.04757526277860375
2,169643,0.045891034255898855
0,167290,0.04525451165488302
9,143851,0.03891390254089651
3,131322,0.03552461581411051
r,127445,0.03447582783105126
o,124074,0.03356392061132139
5,122575,0.03315841811284169
i,121482,0.03286274484343654
8,121227,0.03279376343108676
n,119033,0.03220025276953608
4,118973,0.03218402184898319
7,117393,0.03175660760775708
6,116965,0.031640827041146465
s,115637,0.0312815826662425
t,98291,0.026589223534401976
l,97691,0.026426914328873077
d,82977,0.02244655157861933
c,75811,0.020508038633919163
m,73698,0.01993643971511488
b,67722,0.01831984002804703
h,64541,0.01745933072340131
u,62211,0.016829029975264077
g,57065,0.015436958022511205
k,56915,0.015396380721128979
y,51394,0.013902865514920544
p,49855,0.013486542402738914
f,47045,0.012726394290178562
w,35884,0.009707172551998459
v,32794,0.00887128014352462
j,31641,0.008559375953566583
x,26550,0.00718218234465386
z,26048,0.007046383642694679
q,17340,0.0046907360397852324
A,13995,0.0037858622189616106
E,9257,0.002504160525968391
M,8873,0.002400282634429894
S,8474,0.0022923470127531754
R,8285,0.0022412196130115716
B,7875,0.0021303083225668227
T,7814,0.0021138068866713845
D,7798,0.0021094786411906138
N,7507,0.0020307586765090967
L,7504,0.0020299471304814523
C,7460,0.002018044455409333
P,7167,0.0019387834600427198
H,6749,0.0018257080468575856
G,6513,0.001761866426016218
F,6494,0.0017567266345078028
U,6374,0.0017242647934020226
K,6336,0.0017139852103851922
Y,6113,0.0016536602889969507
I,6058,0.0016387819451568015
J,5809,0.0015714236248623077
W,5671,0.0015340925075906606
V,5471,0.0014799894390810269
O,5460,0.001477013770312997
Z,5323,0.001439953168383898
X,5177,0.0014004579283718656
Q,5067,0.0013707012406915671
_,1555,0.0004206513576624012
.,1497,0.0004049614677946074
-,1106,0.00029918996885827377
?,499,0.00013498715593153582
*,364,9.846758468753314e-05
!,337,9.11636704387326e-05
@,278,7.520326522839069e-05
$,151,4.084781672477336e-05
#,136,3.679008658655084e-05
=,71,1.9206589320919926e-05
%,60,1.623092055289008e-05
&,43,1.1632159729571222e-05
',30,8.11546027644504e-06
;,18,4.869276165867024e-06
~,11,2.9756687680298477e-06
+,9,2.434638082933512e-06
],7,1.8936073978371758e-06
[,6,1.6230920552890077e-06
\,6,1.6230920552890077e-06
|,5,1.3525767127408398e-06
^,5,1.3525767127408398e-06
,3,8.115460276445038e-07
(,2,5.410306850963359e-07
 ,1,2.7051534254816797e-07
>,1,2.7051534254816797e-07
/,1,2.7051534254816797e-07
`,1,2.7051534254816797e-07
Combined length of ALL passwords,3696648
